,Entry,Organism,EC numbers,Interpro_ids,Org
0,P27725,Serratia marcescens,1.1.1.3)],"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']",Serratia marcescens
0,P0A6F3,Escherichia coli (strain K12),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
1,P0A6F4,Escherichia coli O157:H7,2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
2,B1XB92,Escherichia coli (strain K12 / DH10B),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
3,B7LA23,Escherichia coli (strain 55989 / EAEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
4,B7N2R7,Escherichia coli O81 (strain ED1a),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
5,B7M6X7,Escherichia coli O8 (strain IAI1),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
6,C5A093,Escherichia coli (strain K12 / MC4100 / BW2952),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
7,A8A731,Escherichia coli O9:H4 (strain HS),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
8,B5YZ64,Escherichia coli O157:H7 (strain EC4115 / EHEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
9,A7ZUE0,Escherichia coli O139:H28 (strain E24377A / ETEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
10,B7MI58,Escherichia coli O45:K1 (strain S88 / ExPEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
11,B1LNM9,Escherichia coli (strain SMS-3-5 / SECEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
12,B7NU81,Escherichia coli O7:K1 (strain IAI39 / ExPEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
13,B7UNP6,Escherichia coli O127:H6 (strain E2348/69 / EPEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
14,B7NFM3,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
15,Q0TAD8,Escherichia coli O6:K15:H31 (strain 536 / UPEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
16,Q8FBC3,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
17,B1IVF3,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia coli
18,B7LUS9,Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Escherichia fergusonii
19,Q7UB84,Shigella flexneri,2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Shigella flexneri
0,P27595,Bos taurus (Bovine),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Bos taurus
0,P9WPX3,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Mycobacterium tuberculosis
1,P0A4Z9,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Mycobacterium bovis
2,P9WPX2,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Mycobacterium tuberculosis
0,P10869,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041747', 'InterPro:IPR045865']",Saccharomyces cerevisiae
0,Q9Z1N1,Rattus norvegicus (Rat),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Rattus norvegicus
1,P19112,Rattus norvegicus (Rat),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Rattus norvegicus
0,P77983,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Salmonella typhimurium
1,Q8ZNW0,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Salmonella typhimurium
2,Q8Z6K2,Salmonella typhi,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Salmonella typhi
0,Q0JHF8,Oryza sativa subsp. japonica (Rice),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Oryza sativa
1,O64422,Oryza sativa subsp. japonica (Rice),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Oryza sativa
2,A2XEX2,Oryza sativa subsp. indica (Rice),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Oryza sativa
3,A2WXB2,Oryza sativa subsp. indica (Rice),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Oryza sativa
0,P11980,Rattus norvegicus (Rat),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Rattus norvegicus
0,P11980,Rattus norvegicus (Rat),2.7.11.1,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Rattus norvegicus
0,P11980,Rattus norvegicus (Rat),2.7.10.2,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Rattus norvegicus
1,P12928,Rattus norvegicus (Rat),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Rattus norvegicus
0,Q41768,Zea mays (Maize),2.2.1.6,"['InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Zea mays
1,Q41769,Zea mays (Maize),2.2.1.6,"['InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Zea mays
0,Q9WY51,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Thermotoga maritima
1,Q8ZYE0,Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Pyrobaculum aerophilum
2,Q9YEU2,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Aeropyrum pernix
0,Q9M8L4,Arabidopsis thaliana (Mouse-ear cress),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Arabidopsis thaliana
0,P81344,Clostridium pasteurianum,2.7.1.40,[],Clostridium pasteurianum
0,P20921,Proteus vulgaris,1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Proteus vulgaris
0,Q8DT53,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Streptococcus mutans
0,Q2RRP2,Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIMB 8255 / S1),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Rhodospirillum rubrum
0,Q59662,Paracoccus denitrificans,1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Paracoccus denitrificans
1,Q59661,Paracoccus denitrificans,1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Paracoccus denitrificans
0,Q92407,Aspergillus niger,2.7.1.2,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Aspergillus niger
0,Q92407,Aspergillus niger,2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Aspergillus niger
0,P0A993,Escherichia coli (strain K12),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
1,P21437,Escherichia coli (strain K12),3.1.3.11,['InterPro:IPR004464'],Escherichia coli
2,P0A9C9,Escherichia coli (strain K12),3.1.3.11,['InterPro:IPR004464'],Escherichia coli
3,P09467,Homo sapiens (Human),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Homo sapiens
4,O33832,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),3.1.3.11,"['InterPro:IPR000760', 'InterPro:IPR020550', 'InterPro:IPR020583']",Thermotoga maritima
4,O33832,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),3.1.3.25,"['InterPro:IPR000760', 'InterPro:IPR020550', 'InterPro:IPR020583']",Thermotoga maritima
5,Q8XCF0,Escherichia coli O157:H7,3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
6,B1XEL4,Escherichia coli (strain K12 / DH10B),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
7,A1AJD7,Escherichia coli O1:K1 / APEC,3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
8,Q1R324,Escherichia coli (strain UTI89 / UPEC),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
9,A8A7Y7,Escherichia coli O9:H4 (strain HS),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
10,A7ZVB0,Escherichia coli O139:H28 (strain E24377A / ETEC),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
11,B1LRB5,Escherichia coli (strain SMS-3-5 / SECEC),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
12,Q0T9F7,Escherichia coli O6:K15:H31 (strain 536 / UPEC),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
13,P0A994,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
14,P0A9D0,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),3.1.3.11,['InterPro:IPR004464'],Escherichia coli
15,P0A9D1,Shigella flexneri,3.1.3.11,['InterPro:IPR004464'],Shigella flexneri
16,P0A995,Shigella flexneri,3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Shigella flexneri
17,B5Z3I7,Escherichia coli O157:H7 (strain EC4115 / EHEC),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
18,B1ISX3,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Escherichia coli
0,B1J2P7,Pseudomonas putida (strain W619),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pseudomonas putida
1,B0KM65,Pseudomonas putida (strain GB-1),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pseudomonas putida
2,A5WA74,Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pseudomonas putida
3,Q88CY9,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pseudomonas putida
0,P11498,Homo sapiens (Human),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR001882', 'InterPro:IPR003379', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR005930', 'InterPro:IPR011053', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR013785', 'InterPro:IPR016185']",Homo sapiens
0,Q5HGD2,Staphylococcus aureus (strain COL),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Staphylococcus aureus
1,A5ISI2,Staphylococcus aureus (strain JH9),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Staphylococcus aureus
2,A6U1B8,Staphylococcus aureus (strain JH1),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Staphylococcus aureus
3,Q2FHD9,Staphylococcus aureus (strain USA300),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Staphylococcus aureus
4,Q6GHD5,Staphylococcus aureus (strain MRSA252),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Staphylococcus aureus
5,Q8NWX7,Staphylococcus aureus (strain MW2),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Staphylococcus aureus
