	Entry	Organism	EC numbers	Interpro_ids
0	P12268	Homo sapiens (Human)	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875']
1	P20839	Homo sapiens (Human)	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875']
0	O14344	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875', 'InterPro:IPR046342']
0	P0ADG7	Escherichia coli (strain K12)	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875', 'InterPro:IPR046342']
1	P0ADG8	Escherichia coli O157:H7	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875', 'InterPro:IPR046342']
2	P0ADG9	Shigella flexneri	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875', 'InterPro:IPR046342']
0	P21879	Bacillus subtilis (strain 168)	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875', 'InterPro:IPR046342']
1	Q9KGN8	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	['EC 1.1.1.205']	['InterPro:IPR000644', 'InterPro:IPR001093', 'InterPro:IPR005990', 'InterPro:IPR013785', 'InterPro:IPR015875', 'InterPro:IPR046342']
0	Q5RJP0	Rattus norvegicus (Rat)	['EC 1.1.1.21']	['InterPro:IPR018170', 'InterPro:IPR020471', 'InterPro:IPR023210', 'InterPro:IPR036812']
1	P07943	Rattus norvegicus (Rat)	['EC 1.1.1.21', 'EC 1.1.1.300', 'EC 1.1.1.372', 'EC 1.1.1.54']	['InterPro:IPR018170', 'InterPro:IPR020471', 'InterPro:IPR023210', 'InterPro:IPR036812']
0	P15121	Homo sapiens (Human)	['EC 1.1.1.300', 'EC 1.1.1.372', 'EC 1.1.1.54', 'EC 1.1.1.21']	['InterPro:IPR018170', 'InterPro:IPR020471', 'InterPro:IPR023210', 'InterPro:IPR036812']
0	P76373	Escherichia coli (strain K12)	['EC 1.1.1.22']	['InterPro:IPR001732', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR014026', 'InterPro:IPR014027', 'InterPro:IPR017476', 'InterPro:IPR028357', 'InterPro:IPR036220', 'InterPro:IPR036291']
1	O33952	Escherichia coli	['EC 1.1.1.22']	['InterPro:IPR001732', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR014026', 'InterPro:IPR014027', 'InterPro:IPR017476', 'InterPro:IPR028357', 'InterPro:IPR036220', 'InterPro:IPR036291']
2	Q47329	Escherichia coli	['EC 1.1.1.22']	['InterPro:IPR001732', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR014026', 'InterPro:IPR014027', 'InterPro:IPR017476', 'InterPro:IPR028357', 'InterPro:IPR036220', 'InterPro:IPR036291']
3	Q04872	Escherichia coli O111:H-	['EC 1.1.1.22']	['InterPro:IPR001732', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR014026', 'InterPro:IPR014027', 'InterPro:IPR017476', 'InterPro:IPR028357', 'InterPro:IPR036220', 'InterPro:IPR036291']
4	Q7DBF9	Escherichia coli O157:H7	['EC 1.1.1.22']	['InterPro:IPR001732', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR014026', 'InterPro:IPR014027', 'InterPro:IPR017476', 'InterPro:IPR028357', 'InterPro:IPR036220', 'InterPro:IPR036291']
5	Q8FG45	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	['EC 1.1.1.22']	['InterPro:IPR001732', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR014026', 'InterPro:IPR014027', 'InterPro:IPR017476', 'InterPro:IPR028357', 'InterPro:IPR036220', 'InterPro:IPR036291']
6	P37791	Shigella flexneri	['EC 1.1.1.22']	['InterPro:IPR001732', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR014026', 'InterPro:IPR014027', 'InterPro:IPR017476', 'InterPro:IPR028357', 'InterPro:IPR036220', 'InterPro:IPR036291']
0	P19858	Bos taurus (Bovine)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	Q5E9B1	Bos taurus (Bovine)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
2	Q3T056	Bos taurus (Bovine)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P00344	Geobacillus stearothermophilus (Bacillus stearothermophilus)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	Q59244	Bacillus caldolyticus	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
2	P10655	Bacillus caldotenax	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P00345	Priestia megaterium (Bacillus megaterium)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P04034	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	Q01462	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
2	Q9CII4	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
3	Q9CGG8	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR022383', 'InterPro:IPR036291']
4	D8KFT1	Lactococcus lactis subsp. cremoris (strain NZ9000)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
5	P0CI34	Lactococcus lactis subsp. cremoris (strain MG1363)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
6	P0C2T6	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	Q839C1	Enterococcus faecalis (strain ATCC 700802 / V583)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	Q838C9	Enterococcus faecalis (strain ATCC 700802 / V583)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P26283	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P13714	Bacillus subtilis (strain 168)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	A7Z152	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
2	Q9K5Z8	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
3	Q65NP0	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P56511	Lactiplantibacillus pentosus (Lactobacillus pentosus)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	P59390	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
2	P56512	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	Q5HJD7	Staphylococcus aureus (strain COL)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	P99119	Staphylococcus aureus (strain N315)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
2	Q2FK29	Staphylococcus aureus (strain USA300)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
3	Q6GDK1	Staphylococcus aureus (strain MRSA252)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
4	Q6GK73	Staphylococcus aureus (strain MRSA252)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
5	Q8NUM9	Staphylococcus aureus (strain MW2)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
6	A6QDL6	Staphylococcus aureus (strain Newman)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
7	A6QK89	Staphylococcus aureus (strain Newman)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
8	A6TY25	Staphylococcus aureus (strain JH1)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
9	A6U4Y2	Staphylococcus aureus (strain JH1)	['EC 1.1.1.27']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011304', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	Q07251	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	['EC 1.1.1.27']	['InterPro:IPR003767', 'InterPro:IPR036111', 'InterPro:IPR043143', 'InterPro:IPR043144']
0	Q12068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.283', 'EC 1.1.1.265']	['InterPro:IPR002225', 'InterPro:IPR036291']
0	P11766	Homo sapiens (Human)	['EC 1.1.1.1', 'EC 1.1.1.-', 'EC 1.1.1.284']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR014183', 'InterPro:IPR036291']
0	G3XD23	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	['EC 1.1.1.335']	['InterPro:IPR000683', 'InterPro:IPR004104', 'InterPro:IPR036291']
0	P11411	Leuconostoc mesenteroides	['EC 1.1.1.363']	['InterPro:IPR001282', 'InterPro:IPR019796', 'InterPro:IPR022674', 'InterPro:IPR022675', 'InterPro:IPR036291']
0	Q8NN33	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	['EC 1.1.1.37']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR010945', 'InterPro:IPR015955', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	A4QGA0	Corynebacterium glutamicum (strain R)	['EC 1.1.1.37']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR010945', 'InterPro:IPR015955', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	Q55383	Synechocystis sp. (strain PCC 6803 / Kazusa)	['EC 1.1.1.37']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR011275', 'InterPro:IPR015955', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P00346	Sus scrofa (Pig)	['EC 1.1.1.37']	['InterPro:IPR001236', 'InterPro:IPR001252', 'InterPro:IPR001557', 'InterPro:IPR010097', 'InterPro:IPR015955', 'InterPro:IPR022383', 'InterPro:IPR036291']
1	P11708	Sus scrofa (Pig)	['EC 1.1.1.37', 'EC 1.1.1.96']	['InterPro:IPR001236', 'InterPro:IPR001252', 'InterPro:IPR001557', 'InterPro:IPR010945', 'InterPro:IPR011274', 'InterPro:IPR015955', 'InterPro:IPR022383', 'InterPro:IPR036291']
2	A5GFY8	Sus scrofa (Pig)	['EC 1.1.1.95', 'EC 1.1.1.399', 'EC 1.1.1.37']	['InterPro:IPR006139', 'InterPro:IPR006140', 'InterPro:IPR006236', 'InterPro:IPR029009', 'InterPro:IPR029752', 'InterPro:IPR029753', 'InterPro:IPR036291', 'InterPro:IPR045626']
0	Q60176	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	['EC 1.1.1.375']	['InterPro:IPR001236', 'InterPro:IPR001557', 'InterPro:IPR015955', 'InterPro:IPR018177', 'InterPro:IPR022383', 'InterPro:IPR036291']
0	P26616	Escherichia coli (strain K12)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
1	P23368	Homo sapiens (Human)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
2	Q8XAS9	Escherichia coli O157:H7	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
3	B1XE70	Escherichia coli (strain K12 / DH10B)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
4	B7L7H9	Escherichia coli (strain 55989 / EAEC)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
5	B7LZ73	Escherichia coli O8 (strain IAI1)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
6	B7MUR3	Escherichia coli O81 (strain ED1a)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
7	A1AB75	Escherichia coli O1:K1 / APEC	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
8	Q1RBT9	Escherichia coli (strain UTI89 / UPEC)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
9	C4ZWP8	Escherichia coli (strain K12 / MC4100 / BW2952)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR023667', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
0	Q99KE1	Mus musculus (Mouse)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
0	P36013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.38']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
0	Q9SIU0	Arabidopsis thaliana (Mouse-ear cress)	['EC 1.1.1.39']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
1	Q8L7K9	Arabidopsis thaliana (Mouse-ear cress)	['EC 1.1.1.39']	['InterPro:IPR001891', 'InterPro:IPR012301', 'InterPro:IPR012302', 'InterPro:IPR015884', 'InterPro:IPR036291', 'InterPro:IPR037062', 'InterPro:IPR046346']
