Entry	Organism	EC numbers	Interpro_ids	Org
P00893	Escherichia coli (strain K12)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Escherichia coli
P00894	Escherichia coli (strain K12)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Escherichia coli
P0DP90	Escherichia coli (strain K12)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Escherichia coli
P08142	Escherichia coli (strain K12)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Escherichia coli
P0ADF8	Escherichia coli (strain K12)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR039557', 'InterPro:IPR045865']	Escherichia coli
P0ADG1	Escherichia coli (strain K12)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR045865']	Escherichia coli
P0ADG0	Escherichia coli O157:H7	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR039557', 'InterPro:IPR045865']	Escherichia coli
P0ADF9	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR039557', 'InterPro:IPR045865']	Escherichia coli
P40811	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Salmonella typhimurium
P21622	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Salmonella typhimurium
P06999	Escherichia coli (strain K12)	2.7.1.11	['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']	Escherichia coli
P0A796	Escherichia coli (strain K12)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Escherichia coli
P80019	Lactobacillus delbrueckii subsp. bulgaricus	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Lactobacillus delbrueckii
P00512	Geobacillus stearothermophilus (Bacillus stearothermophilus)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Geobacillus stearothermophilus
P0A797	Escherichia coli O157:H7	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Escherichia coli
B6I4Q8	Escherichia coli (strain SE11)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Escherichia coli
B1XB82	Escherichia coli (strain K12 / DH10B)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Escherichia coli
B7LA13	Escherichia coli (strain 55989 / EAEC)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Escherichia coli
B7M6W7	Escherichia coli O8 (strain IAI1)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Escherichia coli
B7N2Q7	Escherichia coli O81 (strain ED1a)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Escherichia coli
P0A6F3	Escherichia coli (strain K12)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
P0A6F4	Escherichia coli O157:H7	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
B1XB92	Escherichia coli (strain K12 / DH10B)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
B7LA23	Escherichia coli (strain 55989 / EAEC)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
B7N2R7	Escherichia coli O81 (strain ED1a)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
B7M6X7	Escherichia coli O8 (strain IAI1)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
C5A093	Escherichia coli (strain K12 / MC4100 / BW2952)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
A8A731	Escherichia coli O9:H4 (strain HS)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
B5YZ64	Escherichia coli O157:H7 (strain EC4115 / EHEC)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
A7ZUE0	Escherichia coli O139:H28 (strain E24377A / ETEC)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Escherichia coli
P21599	Escherichia coli (strain K12)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Escherichia coli
P0AD61	Escherichia coli (strain K12)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Escherichia coli
Q02499	Geobacillus stearothermophilus (Bacillus stearothermophilus)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']	Geobacillus stearothermophilus
P0AD62	Escherichia coli O157:H7	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Escherichia coli
P77983	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Salmonella typhimurium
Q27686	Leishmania mexicana	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Leishmania mexicana
P34038	Lactobacillus delbrueckii subsp. bulgaricus	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']	Lactobacillus delbrueckii
O08309	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']	Clostridium acetobutylicum
P51182	Sporosarcina psychrophila (Bacillus psychrophilus)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']	Sporosarcina psychrophila
P51181	Bacillus licheniformis	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']	Bacillus licheniformis
P08660	Escherichia coli (strain K12)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR041745', 'InterPro:IPR042199', 'InterPro:IPR045865']	Escherichia coli
P00561	Escherichia coli (strain K12)	2.7.2.4); Homoserine dehydrogenase	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Escherichia coli
P00561	Escherichia coli (strain K12)	1.1.1.3)]	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Escherichia coli
P00562	Escherichia coli (strain K12)	2.7.2.4); Homoserine dehydrogenase	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR042199']	Escherichia coli
P00562	Escherichia coli (strain K12)	1.1.1.3)]	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR042199']	Escherichia coli
O23653	Arabidopsis thaliana (Mouse-ear cress)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']	Arabidopsis thaliana
P0A6V1	Escherichia coli (strain K12)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
B6I2Z6	Escherichia coli (strain SE11)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
P0A6V3	Escherichia coli O157:H7	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
B1X775	Escherichia coli (strain K12 / DH10B)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
B7L4W0	Escherichia coli (strain 55989 / EAEC)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
B7M2J3	Escherichia coli O8 (strain IAI1)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
B7N1M2	Escherichia coli O81 (strain ED1a)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
Q1R5J6	Escherichia coli (strain UTI89 / UPEC)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
C4ZVY0	Escherichia coli (strain K12 / MC4100 / BW2952)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
A8A5P0	Escherichia coli O9:H4 (strain HS)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Escherichia coli
